Title,Published_date,Views,Likes,Categories,Comments,Category_id,Source,Title_id
To The Point With Preeti Choudhry LIVE: Decoding Nagpur Violence | A Conspiracy Or Admin Failure?,2024-11-20,1158,8,News & Politics,3,25,YoutubeAPI,100
NASA News LIVE | Stranded NASA Astronauts To Return As SpaceX Dragon Docks With ISS,2024-11-20,2750,24,News & Politics,0,25,YoutubeAPI,101
NASA's Astronauts Homecoming LIVE | Sunita & Butch End Unexpected 9-Month Mission | NASA News LIVE,2024-11-20,4191,29,News & Politics,0,25,YoutubeAPI,102
Israel Airstrike On Hamas LIVE | Over 300 Killed In Gaza | Israel Vs Hamas LIVE | India Today,2024-11-20,1411,20,News & Politics,0,25,YoutubeAPI,103
"Sunita Williams, Butch Wilmore LIVE News | Astronauts Depart From Space Station | Nasa LIVE News",2024-11-20,21516,134,News & Politics,0,25,YoutubeAPI,104
Jaishankar Slams the West’s Hypocrisy on Kashmir & Taliban at Raisina Dialogue 2025,2024-11-20,185,22,News & Politics,0,25,YoutubeAPI,105
"Nagpur Violence: Mob Armed With Swords, Petrol Bombs Attacks Police, Vandalizes Property",2024-11-20,2501,39,News & Politics,28,25,YoutubeAPI,106
Super Six With Akshita Nandagopal LIVE: Nagpur Riots In The Name Of Aurangzeb | Nagpur Clash News,2024-11-20,1505,12,News & Politics,2,25,YoutubeAPI,107
"Nagpur Riots: CM Fadnavis Calls It 'Premeditated Conspiracy', Ex-DGP Criticises Police",2024-11-20,601,4,News & Politics,5,25,YoutubeAPI,108
NASA News LIVE | Stranded NASA Astronauts To Return As SpaceX Dragon Docks With ISS,2024-11-20,31656,197,News & Politics,0,25,YoutubeAPI,101
Rajya Sabha Live: Parliament Budget Session 2025 | WAQF (Amendment) Bill | Opposition vs BJP | NDA,2024-11-20,3199,15,News & Politics,0,25,YoutubeAPI,109
Nagpur Violence News LIVE: Maharashtra CM Devendra Fadnavis Blames 'Chhava' Movie For The Riots,2024-11-20,920,6,News & Politics,0,25,YoutubeAPI,110
Sunita Williams Begins Her Return Journey LIVE | Nasa Astronauts End Unexpected 9-month Mission,2024-11-20,11630,51,News & Politics,0,25,YoutubeAPI,111
"Nagpur Violence: DCP Injured, CCTV Cameras Destroyed In 'Pre-planned Attack'",2024-11-20,2311,14,News & Politics,7,25,YoutubeAPI,112
5ive Live With Gaurav Sawant LIVE: What Caused Nagpur Violence? | Clash On Aurangzeb In Nagpur,2024-11-20,1716,11,News & Politics,4,25,YoutubeAPI,113
"Violent Clashes Erupt in Nagpur, Vehicles Set Ablaze As Mob Attacks Residential Area | India Today",2024-11-20,1746,19,News & Politics,8,25,YoutubeAPI,114
MP Minister Pradhuman Singh Tomar's Unique Approach to Environmental Conservation | India Today,2024-11-20,92,3,News & Politics,0,25,YoutubeAPI,115
Canada's Carney Meets With European Allies As Trump Targets His Country's Sovereignty And Economy,2024-11-20,280,15,News & Politics,0,25,YoutubeAPI,116
"PM Modi Hails Kumbh Success in Lok Sabha, Opposition Demands Debate On Stampede Deaths",2024-11-20,462,6,News & Politics,2,25,YoutubeAPI,117
Karnataka Revenue Department Surveys HD Kumaraswamy's Farmland In Land Grab Case,2024-11-20,205,0,News & Politics,0,25,YoutubeAPI,118
Delhi Metro Achieves Historic Tunnel Construction Breakthrough: Digs Deepest Tunnel Of Phase 4,2024-11-20,392,20,News & Politics,1,25,YoutubeAPI,119
Taiwan Defence Ministry Releases Rare Video And Photos Of Chinese Military Drones And Ships,2024-11-20,175,7,News & Politics,0,25,YoutubeAPI,120
Maharashtra's Minister Nitish Rane Blames SP MLA Abu Azmi For Nagpur Violence | #shorts #abuazmi,2024-11-20,307,16,News & Politics,2,25,YoutubeAPI,121
Sunita Williams' Gujarat Village Prays For Safe Return As NASA Astronaut Undocks From ISS,2024-11-20,1437,16,News & Politics,1,25,YoutubeAPI,122
Nagpur Violence: What Led To Clashes in Nagpur | Explained | Aurangzeb | Maharashtra,2024-11-20,9416,176,News & Politics,85,25,YoutubeAPI,123
"RJD MP Manoj Jha Criticises PM Modi's Speech In Lok Sabha, Calls It Monologue | #shorts",2024-11-20,269,9,News & Politics,0,25,YoutubeAPI,124
"Nagpur Violence: 60 Arrested as Rioters Wield Swords, Hurl Petrol Bombs",2024-11-20,402,0,News & Politics,0,25,YoutubeAPI,125
Lok Sabha Live: Parliament Budget Session 2025 | WAQF (Amendment) Bill | Rahul Gandhi In Lok Sabha,2024-11-20,18487,153,News & Politics,2,25,YoutubeAPI,126
"'Mahakumbh Showcased Power Of Unity', BJP MP Jagdambika Pal Hails PM Modi's Lok Sabha Speech",2024-11-20,74,4,News & Politics,0,25,YoutubeAPI,127
Israel Attacks Airstrike On Hamas News LIVE | Over 300 Killed | Israel Vs Hamas LIVE | India Today,2024-11-20,3252,28,News & Politics,2,25,YoutubeAPI,128
"Nagpur Top Cop Rejects Inaction Claims, Cites 33 Injured Officers in Violent Mob Clash",2024-11-20,596,8,News & Politics,0,25,YoutubeAPI,129
Maharashtra: Minister Nitesh Rane Accuses Jihadis Of Attacking Police In Nagpur,2024-11-20,1052,7,News & Politics,0,25,YoutubeAPI,130
